Time,Amplitude
0.0,-23702528
6.250195318603706e-05,-24252928
0.00012500390637207412,-25409025
0.00018750585955811119,-25817600
0.00025000781274414825,-25835521
0.0003125097659301853,-26293761
0.00037501171911622237,-26550272
0.00043751367230225943,-26420737
0.0005000156254882965,-25456640
0.0005625175786743335,-24677376
0.0006250195318603706,-23758849
0.0006875214850464077,-22509568
0.0007500234382324447,-21272065
0.0008125253914184818,-20635136
0.0008750273446045189,-19695105
0.000937529297790556,-19147264
0.001000031250976593,-19051009
0.00106253320416263,-19869697
0.001125035157348667,-20159489
0.0011875371105347042,-20030976
0.0012500390637207412,-20779009
0.0013125410169067782,-22113792
0.0013750429700928155,-22844416
0.0014375449232788525,-24266753
0.0015000468764648895,-25418752
0.0015625488296509265,-26507777
0.0016250507828369635,-27734529
0.0016875527360230007,-28681728
0.0017500546892090377,-29262337
0.0018125566423950747,-30160384
0.001875058595581112,-32348672
0.001937560548767149,-33607168
0.002000062501953186,-34992640
0.002062564455139223,-37074944
0.00212506640832526,-38707713
0.002187568361511297,-40671233
0.002250070314697334,-43049984
0.0023125722678833715,-44816897
0.0023750742210694085,-45633025
0.0024375761742554455,-46112257
0.0025000781274414825,-46709248
0.0025625800806275195,-48032257
0.0026250820338135565,-49121792
0.0026875839869995935,-49485313
0.002750085940185631,-50045952
0.002812587893371668,-50642433
0.002875089846557705,-51302401
0.002937591799743742,-52011521
0.003000093752929779,-52716545
0.003062595706115816,-52732928
0.003125097659301853,-53559808
0.00318759961248789,-53713920
0.003250101565673927,-54241792
0.0033126035188599644,-54973953
0.0033751054720460015,-55569921
0.0034376074252320385,-55320065
0.0035001093784180755,-55416833
0.0035626113316041125,-55596545
0.0036251132847901495,-55525377
0.0036876152379761865,-55104512
0.003750117191162224,-54153216
0.003812619144348261,-53074944
0.003875121097534298,-52215809
0.0039376230507203345,-51234817
0.004000125003906372,-49828864
0.004062626957092409,-48658432
0.004125128910278446,-47909888
0.004187630863464483,-47001601
0.00425013281665052,-46079488
0.0043126347698365574,-44479488
0.004375136723022594,-43522561
0.0044376386762086314,-42602496
0.004500140629394668,-41100800
0.0045626425825807055,-39410176
0.004625144535766743,-37822977
0.0046876464889527795,-36137985
0.004750148442138817,-34261504
0.0048126503953248535,-32076288
0.004875152348510891,-30411265
0.0049376543016969275,-28786689
0.005000156254882965,-27169281
0.005062658208069002,-25017856
0.005125160161255039,-22391296
0.005187662114441076,-20226560
0.005250164067627113,-17949696
0.00531266602081315,-15867393
0.005375167973999187,-13611009
0.0054376699271852244,-11237376
0.005500171880371262,-8902657
0.0055626738335572985,-6799872
0.005625175786743336,-4676609
0.0056876777399293725,-2485249
0.00575017969311541,-583168
0.0058126816463014465,1208832
0.005875183599487484,2970624
0.0059376855526735205,4674048
0.006000187505859558,5787647
0.006062689459045595,7467008
0.006125191412231632,9374208
0.006187693365417669,11128832
0.006250195318603706,13212671
0.006312697271789743,13946879
0.00637519922497578,15382527
0.006437701178161817,16379392
0.006500203131347854,17390591
0.0065627050845338914,18504703
0.006625207037719929,19670016
0.0066877089909059655,20508672
0.006750210944092003,21413376
0.0068127128972780395,22821376
0.006875214850464077,24303615
0.0069377168036501135,25986048
0.007000218756836151,27228160
0.007062720710022188,27931136
0.007125222663208225,29204479
0.007187724616394262,30681600
0.007250226569580299,31853568
0.007312728522766336,33458688
0.007375230475952373,35300863
0.00743773242913841,36823040
0.007500234382324448,38714879
0.0075627363355104844,40166399
0.007625238288696522,41923583
0.0076877402418825585,43443199
0.007750242195068596,45211647
0.007812744148254632,47156224
